grid,positionText,last_1,last_2,avg_position_real
16,4,4,0,12.714285714285714
18,4,4,4,9.688524590163935
14,4,3,3,9.78048780487805
9,3,4,3,5.739837398373984
11,3,2,0,9.94059405940594
12,4,3,4,7.205882352941177
8,4,4,4,6.8264462809917354
17,4,2,0,8.36448598130841
19,4,4,4,5.029126213592233
10,4,4,0,9.428571428571429
2,1,2,1,2.819672131147541
16,3,4,3,9.78048780487805
19,3,4,4,9.08
18,4,4,3,9.975609756097562
17,4,4,2,8.36448598130841
15,4,3,2,9.94059405940594
6,1,1,0,7.787878787878788
8,1,4,4,6.8264462809917354
1,2,3,1,6.297520661157025
9,2,3,4,5.739837398373984
13,3,4,4,5.029126213592233
12,3,3,3,7.190476190476191
10,3,4,4,9.688524590163935
11,0,4,4,12.714285714285714
7,0,4,3,7.205882352941177
